CLOCK,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,output
2022-12-18 14:50:00,48.651050000000005,38.97555,35.33245,36.006299999999996,63.589800000000004,10.9665,145.15495,384.60800000000006,919.95,2.0503,2.66385,3.527,3.5269999999999997,7.693299999999999,37.871750000000006
2022-12-31 12:10:00,46.307599999999994,36.69085,32.6153,34.566500000000005,62.4919,10.4856,153.96970000000002,389.1103,880.05,1.59045,1.83155,1.9555,1.9835,7.6937,35.3506
2022-12-23 18:10:00,48.5646,38.86065,34.9884,35.50789999999999,65.73585,19.72395,161.7237,383.47905,712.95,1.0616,1.54015,3.5814999999999997,0.0,7.6937,37.730349999999994
2022-12-19 05:30:00,47.591750000000005,38.35315,34.27105,35.6883,64.4408,11.157250000000001,136.59115,379.70615,920.05,2.04615,2.7418500000000003,3.6125000000000007,3.5879999999999996,7.693099999999999,39.72865
2022-12-10 14:00:00,49.200599999999994,38.8283,35.1539,36.692449999999994,63.76605000000001,4.466499999999999,149.19129999999998,403.56375,919.95,2.1887999999999996,2.6811000000000003,3.7479999999999998,3.7474999999999996,7.693950000000001,52.24655
2022-12-26 03:00:00,46.4989,36.7395,34.69115,35.007600000000004,60.91395,8.79055,155.9118,387.32905,919.85,2.0901,2.71295,3.529,3.5425000000000004,7.69385,41.45925
2022-12-29 05:40:00,47.99855,38.288650000000004,34.824200000000005,35.9975,65.20964999999998,14.6808,146.11200000000002,397.1571,919.95,1.939,2.4589,2.8745,2.852,7.69385,37.9953
2022-12-26 05:30:00,47.438550000000006,37.65615,32.8418,34.99365,63.8873,10.53805,137.60100000000003,383.2162,920.05,2.0598,2.7957500000000004,3.2954999999999997,3.2714999999999996,7.693900000000001,38.95365
2022-12-28 12:20:00,46.90794999999999,37.98,33.6404,35.7419,61.58919999999999,20.9809,135.8048,349.05420000000004,920.05,1.9499000000000002,2.4917499999999997,2.9175,2.9175,7.693950000000001,33.2111
2022-12-29 15:20:00,48.494899999999994,38.767250000000004,34.26065,35.62965,63.919200000000004,10.033249999999999,138.84665,373.63455,919.95,1.8387500000000003,2.53825,2.6670000000000003,2.6864999999999997,7.693950000000001,36.90929999999999
2022-12-18 19:10:00,47.943149999999996,38.5085,34.1768,36.24065,65.05775000000001,10.5427,131.47429999999997,350.42115,919.95,2.1097499999999996,2.7208,3.6239999999999997,3.6154999999999995,7.69285,38.05535
2022-12-28 13:20:00,47.74679999999999,38.5281,34.192899999999995,35.97945,64.53065,20.02375,138.2271,372.1369,919.95,1.9692999999999998,2.5245,2.9195,2.908,7.693750000000001,33.5726
2022-12-23 15:10:00,44.7964,39.103300000000004,36.528499999999994,36.87025,61.01769999999999,21.39545,164.1496,405.4766000000001,920.05,1.8135,2.2973,3.3084999999999996,3.312499999999999,7.69365,37.87135
2022-12-17 15:00:00,46.563649999999996,37.5098,33.286449999999995,35.4663,63.742399999999996,10.937899999999999,135.33249999999998,356.71854999999994,920.05,1.9699000000000002,2.7306,3.533,3.5204999999999993,7.693650000000001,37.2564
2022-12-12 11:00:00,48.3085,38.5034,34.79885,36.6667,64.42515,9.638,141.62669999999997,364.40035,919.95,2.1979999999999995,2.8832,3.9300000000000006,3.9165,7.6938,36.564949999999996
2022-12-14 06:30:00,49.215399999999995,40.0159,36.07455,38.01480000000001,63.29765,15.78115,142.86095,380.7187,920.05,2.0385500000000003,2.8633,3.0714999999999995,3.073,7.693850000000002,39.39110000000001
2022-12-14 23:30:00,49.0784,39.6697,35.733000000000004,36.8258,63.771950000000004,10.195049999999998,147.51715,375.16459999999995,920.0,1.9995999999999998,2.6961,2.9245,2.951,7.693900000000001,39.500299999999996
2022-12-20 22:20:00,47.22835,38.5765,34.9603,36.02655,63.020799999999994,8.5665,142.03659999999996,398.9295,919.9,2.008,2.8591499999999996,3.439,3.4545000000000003,7.69345,39.83090000000001
2022-12-27 01:30:00,47.563599999999994,38.34025,33.2142,35.735600000000005,64.33575,8.6906,126.31325,341.35209999999995,920.0,1.8524500000000004,2.6412999999999998,2.8589999999999995,2.8505,7.69385,39.7947
2022-12-14 11:50:00,47.53655,38.75005,34.894949999999994,37.15585,64.43035,14.5618,142.56985,369.0963,920.0,1.99025,2.8312,3.1700000000000004,3.188,7.6937,35.32325
2022-12-19 10:00:00,47.822500000000005,38.54825,34.76105,36.112700000000004,64.4375,9.809750000000001,137.56555,380.6052999999999,920.0,2.039,2.7982,3.6050000000000004,3.602499999999999,7.693149999999998,37.95495
2022-12-19 17:00:00,47.4335,38.4337,34.2182,35.8968,64.2271,8.18535,136.86599999999999,363.4546,920.0,2.0575500000000004,2.7833499999999995,3.6590000000000003,3.6650000000000005,7.693299999999999,39.02595000000001
2022-12-18 06:40:00,47.44,38.03305,34.11425,35.40475000000001,63.14814999999999,14.833249999999998,142.77985,390.33405000000005,920.0,1.9901499999999999,2.5605,3.53,3.5200000000000005,7.69355,38.469849999999994
2022-12-22 19:40:00,45.88775,37.322,33.166149999999995,35.743849999999995,63.694399999999995,24.54735,127.99854999999998,350.2289,920.05,2.08805,2.7897499999999997,3.078,3.065,7.6938,35.902049999999996
2022-12-17 20:20:00,47.77215,38.41895,34.05735,35.98285,65.65825,12.3097,132.54214999999996,355.76570000000004,919.9,2.05225,2.7196500000000006,3.5909999999999997,3.5985,7.693650000000001,37.532799999999995
2022-12-27 01:20:00,47.61045,37.97959999999999,33.3495,35.528800000000004,64.07415,8.733500000000001,133.77085000000002,363.50225000000006,920.0,2.06105,2.62615,2.8960000000000004,2.8945,7.693900000000001,39.7901
2022-12-17 08:30:00,46.46265,37.325649999999996,33.327650000000006,34.98584999999999,63.34085,11.304499999999999,139.35935,380.9681999999999,919.95,1.93795,2.118,2.5584999999999996,2.5515,7.69335,37.05385
2022-12-25 01:00:00,49.4396,39.9169,34.6068,37.127750000000006,64.0361,8.5045,133.70225,368.44264999999996,919.9,1.96015,2.7052,2.7145,2.6759999999999997,7.693750000000001,39.997499999999995
2022-12-13 00:30:00,48.984899999999996,39.733999999999995,34.85715,36.79705,64.46940000000001,14.071250000000001,129.60829999999996,356.89394999999996,920.05,2.1686000000000005,2.90475,6.4575000000000005,1.1015000000000001,7.694000000000001,39.4622
